state,hospitals,measures_reported,avg_err,pct_worse
MA,55,240,1.0344,62.5
NJ,61,272,1.0277,65.4
FL,169,771,1.0229,57.5
IL,114,491,1.0194,57.8
MS,59,185,1.0141,61.1
AL,77,247,1.0139,52.6
WV,25,95,1.0115,53.7
NV,22,94,1.0114,51.1
GA,94,346,1.0114,55.8
KY,59,227,1.0101,54.2
CA,277,1038,1.0101,55.2
OH,118,481,1.0085,52.0
LA,82,222,1.008,51.4
PA,133,545,1.0069,51.0
SC,51,202,1.0067,46.0
TN,78,285,1.0054,50.9
MI,90,362,1.0054,48.1
TX,284,898,1.0043,49.6
NY,129,520,1.0019,52.7
MO,63,284,1.0011,47.5
AZ,64,232,1.0009,49.6
AR,43,156,1.0003,52.6
OK,76,226,0.998,40.7
IN,82,321,0.9976,45.2
CT,27,112,0.9967,46.4
NH,13,63,0.9954,44.4
VA,71,302,0.9943,44.4
NC,80,335,0.9937,43.6
RI,10,37,0.9892,35.1
AK,8,36,0.9871,41.7
MD,43,195,0.9859,40.5
WY,8,33,0.9854,30.3
NM,26,76,0.9839,38.2
HI,11,42,0.9837,42.9
WI,65,245,0.982,33.5
NE,25,93,0.9787,35.5
DE,6,31,0.9787,29.0
MN,46,175,0.9778,30.9
IA,30,131,0.9716,28.2
CO,51,183,0.9674,26.8
KS,44,157,0.9662,29.9
SD,17,49,0.965,34.7
WA,46,207,0.9636,28.0
OR,32,131,0.9599,22.9
UT,32,99,0.9559,20.2
MT,11,53,0.9541,18.9
ME,13,49,0.9515,20.4
ND,7,35,0.9466,17.1
ID,16,56,0.9432,19.6
